experiment_id,design_id,condition_id,timestamp,span_m,root_chord_m,tip_chord_m,taper_ratio,sweep_deg,twist_deg,airfoil_id,wing_area_m2,aspect_ratio,mean_aerodynamic_chord_m,velocity_mps,aoa_deg,air_density,CL,CD,LD,solver_name,solver_status,iterations,residual_final,runtime_sec,config_hash,seed,experiment_tag
baseline_phase1_20260608T160559Z_307e022cd6f5,wing_000000,v15_a-5,2026-06-08T16:05:59.459158+00:00,1.5117721684859562,0.2677346791385691,0.24744169407808397,0.9242048690674761,23.671374905182653,2.2259112887774606,NACA2412,0.3894146514452349,5.8689499250393355,0.2577214112876384,15.0,-5.0,1.225,-0.13862567790665697,0.008426191110875616,-16.451760479029957,analytic,converged,1,0.0,1.7300015315413475e-05,307e022cd6f5,42,phase1
baseline_phase1_20260608T160559Z_307e022cd6f5,wing_000000,v15_a0,2026-06-08T16:05:59.459175+00:00,1.5117721684859562,0.2677346791385691,0.24744169407808397,0.9242048690674761,23.671374905182653,2.2259112887774606,NACA2412,0.3894146514452349,5.8689499250393355,0.2577214112876384,15.0,0.0,1.225,0.22868332968090446,0.01053687402703535,21.703147356051925,analytic,converged,1,0.0,9.100011084228754e-06,307e022cd6f5,42,phase1
baseline_phase1_20260608T160559Z_307e022cd6f5,wing_000000,v15_a5,2026-06-08T16:05:59.459183+00:00,1.5117721684859562,0.2677346791385691,0.24744169407808397,0.9242048690674761,23.671374905182653,2.2259112887774606,NACA2412,0.3894146514452349,5.8689499250393355,0.2577214112876384,15.0,5.0,1.225,0.5959923372684659,0.029864813489258964,19.95633883609612,analytic,converged,1,0.0,5.199981387704611e-06,307e022cd6f5,42,phase1
baseline_phase1_20260608T160559Z_307e022cd6f5,wing_000000,v15_a10,2026-06-08T16:05:59.459188+00:00,1.5117721684859562,0.2677346791385691,0.24744169407808397,0.9242048690674761,23.671374905182653,2.2259112887774606,NACA2412,0.3894146514452349,5.8689499250393355,0.2577214112876384,15.0,10.0,1.225,0.9633013448560275,0.06641000949754648,14.505363756823686,analytic,converged,1,0.0,3.4999684430658817e-06,307e022cd6f5,42,phase1
baseline_phase1_20260608T160559Z_307e022cd6f5,wing_000000,v15_a15,2026-06-08T16:05:59.459193+00:00,1.5117721684859562,0.2677346791385691,0.24744169407808397,0.9242048690674761,23.671374905182653,2.2259112887774606,NACA2412,0.3894146514452349,5.8689499250393355,0.2577214112876384,15.0,15.0,1.225,1.3306103524435888,0.12017246205189784,11.072506377284254,analytic,converged,1,0.0,3.700028173625469e-06,307e022cd6f5,42,phase1
baseline_phase1_20260608T160559Z_307e022cd6f5,wing_000000,v20_a-5,2026-06-08T16:05:59.459198+00:00,1.5117721684859562,0.2677346791385691,0.24744169407808397,0.9242048690674761,23.671374905182653,2.2259112887774606,NACA2412,0.3894146514452349,5.8689499250393355,0.2577214112876384,20.0,-5.0,1.225,-0.13862567790665697,0.008426191110875616,-16.451760479029957,analytic,converged,1,0.0,2.700020559132099e-06,307e022cd6f5,42,phase1
baseline_phase1_20260608T160559Z_307e022cd6f5,wing_000000,v20_a0,2026-06-08T16:05:59.459202+00:00,1.5117721684859562,0.2677346791385691,0.24744169407808397,0.9242048690674761,23.671374905182653,2.2259112887774606,NACA2412,0.3894146514452349,5.8689499250393355,0.2577214112876384,20.0,0.0,1.225,0.22868332968090446,0.01053687402703535,21.703147356051925,analytic,converged,1,0.0,2.7999631129205227e-06,307e022cd6f5,42,phase1
baseline_phase1_20260608T160559Z_307e022cd6f5,wing_000000,v20_a5,2026-06-08T16:05:59.459206+00:00,1.5117721684859562,0.2677346791385691,0.24744169407808397,0.9242048690674761,23.671374905182653,2.2259112887774606,NACA2412,0.3894146514452349,5.8689499250393355,0.2577214112876384,20.0,5.0,1.225,0.5959923372684659,0.029864813489258964,19.95633883609612,analytic,converged,1,0.0,2.300017513334751e-06,307e022cd6f5,42,phase1
baseline_phase1_20260608T160559Z_307e022cd6f5,wing_000000,v20_a10,2026-06-08T16:05:59.459210+00:00,1.5117721684859562,0.2677346791385691,0.24744169407808397,0.9242048690674761,23.671374905182653,2.2259112887774606,NACA2412,0.3894146514452349,5.8689499250393355,0.2577214112876384,20.0,10.0,1.225,0.9633013448560275,0.06641000949754648,14.505363756823686,analytic,converged,1,0.0,2.400018274784088e-06,307e022cd6f5,42,phase1
baseline_phase1_20260608T160559Z_307e022cd6f5,wing_000000,v20_a15,2026-06-08T16:05:59.459214+00:00,1.5117721684859562,0.2677346791385691,0.24744169407808397,0.9242048690674761,23.671374905182653,2.2259112887774606,NACA2412,0.3894146514452349,5.8689499250393355,0.2577214112876384,20.0,15.0,1.225,1.3306103524435888,0.12017246205189784,11.072506377284254,analytic,converged,1,0.0,2.8999638743698597e-06,307e022cd6f5,42,phase1
baseline_phase1_20260608T160559Z_307e022cd6f5,wing_000000,v25_a-5,2026-06-08T16:05:59.459218+00:00,1.5117721684859562,0.2677346791385691,0.24744169407808397,0.9242048690674761,23.671374905182653,2.2259112887774606,NACA2412,0.3894146514452349,5.8689499250393355,0.2577214112876384,25.0,-5.0,1.225,-0.13862567790665697,0.008426191110875616,-16.451760479029957,analytic,converged,1,0.0,2.600019797682762e-06,307e022cd6f5,42,phase1
