experiment_id,design_id,condition_id,timestamp,span_m,root_chord_m,tip_chord_m,taper_ratio,sweep_deg,twist_deg,airfoil_id,wing_area_m2,aspect_ratio,mean_aerodynamic_chord_m,velocity_mps,aoa_deg,air_density,CL,CD,LD,solver_name,solver_status,iterations,residual_final,runtime_sec,config_hash,seed,experiment_tag
baseline_phase1_20260608T173324Z_64b00aac4f84,wing_000000,v15_a-5,2026-06-08T17:33:25.334617+00:00,1.7194392198760262,0.3414810358803386,0.2701424627487941,0.7910906737540093,1.9217044901331881,4.63382494424301,NACA2412,0.5258247156703608,5.622541395907468,0.30719854800903856,15.0,-5.0,1.225,-0.05278822104885356,0.007385597701392576,-7.147454164596616,panel2d,converged,160,0.0,1.6900012269616127e-05,64b00aac4f84,42,phase1
baseline_phase1_20260608T173324Z_64b00aac4f84,wing_000000,v15_a0,2026-06-08T17:33:25.334634+00:00,1.7194392198760262,0.3414810358803386,0.2701424627487941,0.7910906737540093,1.9217044901331881,4.63382494424301,NACA2412,0.5258247156703608,5.622541395907468,0.30719854800903856,15.0,0.0,1.225,0.33360604684827105,0.014612528358070859,22.830138540946763,panel2d,converged,160,0.0,2.9199989512562752e-05,64b00aac4f84,42,phase1
baseline_phase1_20260608T173324Z_64b00aac4f84,wing_000000,v15_a5,2026-06-08T17:33:25.334640+00:00,1.7194392198760262,0.3414810358803386,0.2701424627487941,0.7910906737540093,1.9217044901331881,4.63382494424301,NACA2412,0.5258247156703608,5.622541395907468,0.30719854800903856,15.0,5.0,1.225,0.7200003147453956,0.04172740289638205,17.254855676815268,panel2d,converged,160,0.0,2.4600012693554163e-05,64b00aac4f84,42,phase1
baseline_phase1_20260608T173324Z_64b00aac4f84,wing_000000,v15_a10,2026-06-08T17:33:25.334644+00:00,1.7194392198760262,0.3414810358803386,0.2701424627487941,0.7910906737540093,1.9217044901331881,4.63382494424301,NACA2412,0.5258247156703608,5.622541395907468,0.30719854800903856,15.0,10.0,1.225,1.1063945826425203,0.08873022131632617,12.469196697911832,panel2d,converged,160,0.0,2.9499991796910763e-05,64b00aac4f84,42,phase1
baseline_phase1_20260608T173324Z_64b00aac4f84,wing_000000,v15_a15,2026-06-08T17:33:25.334647+00:00,1.7194392198760262,0.3414810358803386,0.2701424627487941,0.7910906737540093,1.9217044901331881,4.63382494424301,NACA2412,0.5258247156703608,5.622541395907468,0.30719854800903856,15.0,15.0,1.225,1.4,0.13774330731156023,10.163833200500651,panel2d,stall_limited,160,0.0,1.92999723367393e-05,64b00aac4f84,42,phase1
baseline_phase1_20260608T173324Z_64b00aac4f84,wing_000000,v20_a-5,2026-06-08T17:33:25.334650+00:00,1.7194392198760262,0.3414810358803386,0.2701424627487941,0.7910906737540093,1.9217044901331881,4.63382494424301,NACA2412,0.5258247156703608,5.622541395907468,0.30719854800903856,20.0,-5.0,1.225,-0.05278822104885356,0.007385597701392576,-7.147454164596616,panel2d,converged,160,0.0,2.8999987989664078e-05,64b00aac4f84,42,phase1
baseline_phase1_20260608T173324Z_64b00aac4f84,wing_000000,v20_a0,2026-06-08T17:33:25.334652+00:00,1.7194392198760262,0.3414810358803386,0.2701424627487941,0.7910906737540093,1.9217044901331881,4.63382494424301,NACA2412,0.5258247156703608,5.622541395907468,0.30719854800903856,20.0,0.0,1.225,0.33360604684827105,0.014612528358070859,22.830138540946763,panel2d,converged,160,0.0,2.7500034775584936e-05,64b00aac4f84,42,phase1
baseline_phase1_20260608T173324Z_64b00aac4f84,wing_000000,v20_a5,2026-06-08T17:33:25.334655+00:00,1.7194392198760262,0.3414810358803386,0.2701424627487941,0.7910906737540093,1.9217044901331881,4.63382494424301,NACA2412,0.5258247156703608,5.622541395907468,0.30719854800903856,20.0,5.0,1.225,0.7200003147453956,0.04172740289638205,17.254855676815268,panel2d,converged,160,0.0,1.8600025214254856e-05,64b00aac4f84,42,phase1
baseline_phase1_20260608T173324Z_64b00aac4f84,wing_000000,v20_a10,2026-06-08T17:33:25.334658+00:00,1.7194392198760262,0.3414810358803386,0.2701424627487941,0.7910906737540093,1.9217044901331881,4.63382494424301,NACA2412,0.5258247156703608,5.622541395907468,0.30719854800903856,20.0,10.0,1.225,1.1063945826425203,0.08873022131632617,12.469196697911832,panel2d,converged,160,0.0,2.889998722821474e-05,64b00aac4f84,42,phase1
baseline_phase1_20260608T173324Z_64b00aac4f84,wing_000000,v20_a15,2026-06-08T17:33:25.334661+00:00,1.7194392198760262,0.3414810358803386,0.2701424627487941,0.7910906737540093,1.9217044901331881,4.63382494424301,NACA2412,0.5258247156703608,5.622541395907468,0.30719854800903856,20.0,15.0,1.225,1.4,0.13774330731156023,10.163833200500651,panel2d,stall_limited,160,0.0,2.9200047720223665e-05,64b00aac4f84,42,phase1
