experiment_id,design_id,condition_id,timestamp,span_m,root_chord_m,tip_chord_m,taper_ratio,sweep_deg,twist_deg,airfoil_id,wing_area_m2,aspect_ratio,mean_aerodynamic_chord_m,velocity_mps,aoa_deg,air_density,CL,CD,LD,solver_name,solver_status,iterations,residual_final,runtime_sec,config_hash,seed,experiment_tag
baseline_phase1_20260608T162505Z_d3c044325798,wing_000000,v15_a-5,2026-06-08T16:25:05.723646+00:00,1.5608662508171884,0.26020556006031886,0.10215867231353062,0.39260756876159364,8.093175585326684,-2.084715243667255,NACA4412,0.28280105040780945,8.61490241789013,0.19267093346653016,15.0,-5.0,1.225,-0.17454201814051873,0.00852428306547153,-20.475859001857742,analytic,converged,1,0.0,1.950003206729889e-05,d3c044325798,42,phase1
baseline_phase1_20260608T162505Z_d3c044325798,wing_000000,v15_a0,2026-06-08T16:25:05.723664+00:00,1.5608662508171884,0.26020556006031886,0.10215867231353062,0.39260756876159364,8.093175585326684,-2.084715243667255,NACA4412,0.28280105040780945,8.61490241789013,0.19267093346653016,15.0,0.0,1.225,0.2527632105681905,0.009977209008106315,25.334059892182736,analytic,converged,1,0.0,6.299989763647318e-06,d3c044325798,42,phase1
baseline_phase1_20260608T162505Z_d3c044325798,wing_000000,v15_a5,2026-06-08T16:25:05.723670+00:00,1.5608662508171884,0.26020556006031886,0.10215867231353062,0.39260756876159364,8.093175585326684,-2.084715243667255,NACA4412,0.28280105040780945,8.61490241789013,0.19267093346653016,15.0,5.0,1.225,0.6800684392768997,0.027304166858102878,24.9071302124379,analytic,converged,1,0.0,3.1999661587178707e-06,d3c044325798,42,phase1
baseline_phase1_20260608T162505Z_d3c044325798,wing_000000,v15_a10,2026-06-08T16:25:05.723674+00:00,1.5608662508171884,0.26020556006031886,0.10215867231353062,0.39260756876159364,8.093175585326684,-2.084715243667255,NACA4412,0.28280105040780945,8.61490241789013,0.19267093346653016,15.0,10.0,1.225,1.107373667985609,0.06050515661546122,18.302137039715316,analytic,converged,1,0.0,2.200016751885414e-06,d3c044325798,42,phase1
baseline_phase1_20260608T162505Z_d3c044325798,wing_000000,v15_a15,2026-06-08T16:25:05.723677+00:00,1.5608662508171884,0.26020556006031886,0.10215867231353062,0.39260756876159364,8.093175585326684,-2.084715243667255,NACA4412,0.28280105040780945,8.61490241789013,0.19267093346653016,15.0,15.0,1.225,1.4,0.09239947339086367,15.151601504023613,analytic,stall_limited,1,0.0,2.3999600671231747e-06,d3c044325798,42,phase1
baseline_phase1_20260608T162505Z_d3c044325798,wing_000000,v20_a-5,2026-06-08T16:25:05.723682+00:00,1.5608662508171884,0.26020556006031886,0.10215867231353062,0.39260756876159364,8.093175585326684,-2.084715243667255,NACA4412,0.28280105040780945,8.61490241789013,0.19267093346653016,20.0,-5.0,1.225,-0.17454201814051873,0.00852428306547153,-20.475859001857742,analytic,converged,1,0.0,1.800013706088066e-06,d3c044325798,42,phase1
baseline_phase1_20260608T162505Z_d3c044325798,wing_000000,v20_a0,2026-06-08T16:25:05.723685+00:00,1.5608662508171884,0.26020556006031886,0.10215867231353062,0.39260756876159364,8.093175585326684,-2.084715243667255,NACA4412,0.28280105040780945,8.61490241789013,0.19267093346653016,20.0,0.0,1.225,0.2527632105681905,0.009977209008106315,25.334059892182736,analytic,converged,1,0.0,1.7999554984271526e-06,d3c044325798,42,phase1
baseline_phase1_20260608T162505Z_d3c044325798,wing_000000,v20_a5,2026-06-08T16:25:05.723688+00:00,1.5608662508171884,0.26020556006031886,0.10215867231353062,0.39260756876159364,8.093175585326684,-2.084715243667255,NACA4412,0.28280105040780945,8.61490241789013,0.19267093346653016,20.0,5.0,1.225,0.6800684392768997,0.027304166858102878,24.9071302124379,analytic,converged,1,0.0,2.100015990436077e-06,d3c044325798,42,phase1
baseline_phase1_20260608T162505Z_d3c044325798,wing_000000,v20_a10,2026-06-08T16:25:05.723692+00:00,1.5608662508171884,0.26020556006031886,0.10215867231353062,0.39260756876159364,8.093175585326684,-2.084715243667255,NACA4412,0.28280105040780945,8.61490241789013,0.19267093346653016,20.0,10.0,1.225,1.107373667985609,0.06050515661546122,18.302137039715316,analytic,converged,1,0.0,1.8999562598764896e-06,d3c044325798,42,phase1
baseline_phase1_20260608T162505Z_d3c044325798,wing_000000,v20_a15,2026-06-08T16:25:05.723696+00:00,1.5608662508171884,0.26020556006031886,0.10215867231353062,0.39260756876159364,8.093175585326684,-2.084715243667255,NACA4412,0.28280105040780945,8.61490241789013,0.19267093346653016,20.0,15.0,1.225,1.4,0.09239947339086367,15.151601504023613,analytic,stall_limited,1,0.0,1.9000144675374031e-06,d3c044325798,42,phase1
baseline_phase1_20260608T162505Z_d3c044325798,wing_000000,v25_a-5,2026-06-08T16:25:05.723701+00:00,1.5608662508171884,0.26020556006031886,0.10215867231353062,0.39260756876159364,8.093175585326684,-2.084715243667255,NACA4412,0.28280105040780945,8.61490241789013,0.19267093346653016,25.0,-5.0,1.225,-0.17454201814051873,0.00852428306547153,-20.475859001857742,analytic,converged,1,0.0,1.800013706088066e-06,d3c044325798,42,phase1
baseline_phase1_20260608T162505Z_d3c044325798,wing_000000,v25_a0,2026-06-08T16:25:05.723705+00:00,1.5608662508171884,0.26020556006031886,0.10215867231353062,0.39260756876159364,8.093175585326684,-2.084715243667255,NACA4412,0.28280105040780945,8.61490241789013,0.19267093346653016,25.0,0.0,1.225,0.2527632105681905,0.009977209008106315,25.334059892182736,analytic,converged,1,0.0,5.300040356814861e-06,d3c044325798,42,phase1
baseline_phase1_20260608T162505Z_d3c044325798,wing_000000,v25_a5,2026-06-08T16:25:05.723708+00:00,1.5608662508171884,0.26020556006031886,0.10215867231353062,0.39260756876159364,8.093175585326684,-2.084715243667255,NACA4412,0.28280105040780945,8.61490241789013,0.19267093346653016,25.0,5.0,1.225,0.6800684392768997,0.027304166858102878,24.9071302124379,analytic,converged,1,0.0,1.9000144675374031e-06,d3c044325798,42,phase1
baseline_phase1_20260608T162505Z_d3c044325798,wing_000000,v25_a10,2026-06-08T16:25:05.723711+00:00,1.5608662508171884,0.26020556006031886,0.10215867231353062,0.39260756876159364,8.093175585326684,-2.084715243667255,NACA4412,0.28280105040780945,8.61490241789013,0.19267093346653016,25.0,10.0,1.225,1.107373667985609,0.06050515661546122,18.302137039715316,analytic,converged,1,0.0,1.9000144675374031e-06,d3c044325798,42,phase1
baseline_phase1_20260608T162505Z_d3c044325798,wing_000000,v25_a15,2026-06-08T16:25:05.723715+00:00,1.5608662508171884,0.26020556006031886,0.10215867231353062,0.39260756876159364,8.093175585326684,-2.084715243667255,NACA4412,0.28280105040780945,8.61490241789013,0.19267093346653016,25.0,15.0,1.225,1.4,0.09239947339086367,15.151601504023613,analytic,stall_limited,1,0.0,1.9999570213258266e-06,d3c044325798,42,phase1
baseline_phase1_20260608T162505Z_d3c044325798,wing_000001,v15_a-5,2026-06-08T16:25:05.723718+00:00,1.1268936560148732,0.2527421128163001,0.1837782567768943,0.727137455365301,13.587007855852379,2.43696639544655,NACA2412,0.24595601760791927,5.163074781894174,0.22007606547904054,15.0,-5.0,1.225,-0.13160191359478812,0.00845616646392753,-15.562833839208109,analytic,converged,1,0.0,1.9000144675374031e-06,d3c044325798,42,phase1
baseline_phase1_20260608T162505Z_d3c044325798,wing_000001,v15_a0,2026-06-08T16:25:05.723721+00:00,1.1268936560148732,0.2527421128163001,0.1837782567768943,0.727137455365301,13.587007855852379,2.43696639544655,NACA2412,0.24595601760791927,5.163074781894174,0.22007606547904054,15.0,0.0,1.225,0.23775164351622208,0.01129986769249372,21.040214804829603,analytic,converged,1,0.0,1.9999570213258266e-06,d3c044325798,42,phase1
baseline_phase1_20260608T162505Z_d3c044325798,wing_000001,v15_a5,2026-06-08T16:25:05.723724+00:00,1.1268936560148732,0.2527421128163001,0.1837782567768943,0.727137455365301,13.587007855852379,2.43696639544655,NACA2412,0.24595601760791927,5.163074781894174,0.22007606547904054,15.0,5.0,1.225,0.6071052006272323,0.03393318430508904,17.89119450649915,analytic,converged,1,0.0,2.00001522898674e-06,d3c044325798,42,phase1
baseline_phase1_20260608T162505Z_d3c044325798,wing_000001,v15_a10,2026-06-08T16:25:05.723727+00:00,1.1268936560148732,0.2527421128163001,0.1837782567768943,0.727137455365301,13.587007855852379,2.43696639544655,NACA2412,0.24595601760791927,5.163074781894174,0.22007606547904054,15.0,10.0,1.225,0.9764587577382424,0.07635611630171348,12.788219268249112,analytic,converged,1,0.0,1.7999554984271526e-06,d3c044325798,42,phase1
baseline_phase1_20260608T162505Z_d3c044325798,wing_000001,v15_a15,2026-06-08T16:25:05.723730+00:00,1.1268936560148732,0.2527421128163001,0.1837782567768943,0.727137455365301,13.587007855852379,2.43696639544655,NACA2412,0.24595601760791927,5.163074781894174,0.22007606547904054,15.0,15.0,1.225,1.3458123148492527,0.13856866368236706,9.712241419417744,analytic,converged,1,0.0,1.700012944638729e-06,d3c044325798,42,phase1
