eval_index,span_m,root_chord_m,tip_chord_m,sweep_deg,twist_deg,airfoil_id,feasible,penalty,cost,obj_cl,obj_cd,CL,CD,LD,wing_area_m2,aspect_ratio
0,1.7739560485559633,0.3036074539132183,0.2646494799778456,20.921040871780917,-4.058226521123505,NACA2412,True,0.0,-13.340255543135791,-0.369954360915645,0.0246674767938089,0.369954360915645,0.0246674767938089,13.340255543135791,0.5040314125049595,6.243499877455203
1,1.761139701990353,0.42512250684693376,0.08202840816888647,13.511578136867014,-1.2920197576741876,NACA4412,True,0.0,-20.697818002623222,-0.6622572150942349,0.03585281298783336,0.6622572150942349,0.03585281298783336,20.697818002623222,0.44658180566754824,6.945229318714393
2,1.9267649888486018,0.3753527920282326,0.2556904033177075,13.302425964819934,-2.727612782152231,NACA0012,True,0.0,-10.538563007935508,-0.29159146682310505,0.018200646554296537,0.29159146682310505,0.018200646554296537,10.538563007935508,0.6079359676218532,6.106602537065129
3,1.0638172561041754,0.4396709101974037,0.20791609978051623,22.742632202561214,-1.4547403187013161,NACA2412,True,0.0,-13.930347735213275,-0.42984467139823157,0.02894720442564119,0.42984467139823157,0.02894720442564119,13.930347735213275,0.34445711802170903,3.2854805291429403
4,1.9706980243949033,0.4625923924627692,0.24459587426844048,5.839161235559027,-0.3327899627296578,NACA2412,True,0.0,-18.511632859556737,-0.5593634347193728,0.02927318360175909,0.5593634347193728,0.02927318360175909,18.511632859556737,0.6968272600612254,5.573333487287431
5,1.154289492067548,0.3890671336348591,0.2361905389769543,29.0252919730263,-1.7417464186184803,NACA0012,True,0.0,-9.479760382914142,-0.3077920048633218,0.018866483331529554,0.3077920048633218,0.018866483331529554,9.479760382914142,0.36086418066521364,3.6922041667905448
6,1.3704597060348689,0.3143445339465327,0.09736783977107143,3.8976451600641493,-0.24295073774066278,NACA0012,True,0.0,-15.099516857390912,-0.4019349969923725,0.01971950898922937,0.4019349969923725,0.01971950898922937,15.099516857390912,0.2821176093279729,6.657364672623976
7,1.6698139946825103,0.30300317160531576,0.2581695490144594,21.007953060067475,-1.8763335861795891,NACA0012,True,0.0,-11.614657205440196,-0.31895848871401933,0.018776136110603442,0.31895848871401933,0.018776136110603442,11.614657205440196,0.46852703116247957,5.951158826246294
8,1.832259801395201,0.4316675251238806,0.14686959475754363,8.649843117907324,1.8249550397497547,NACA2412,True,0.0,-18.240775920827854,-0.6715931936095534,0.03819063567958638,0.6715931936095534,0.03819063567958638,18.240775920827854,0.530015154186845,6.33411319146034
9,1.1999082024751084,0.2467310943755346,0.15257679441285193,19.945525697760964,2.0516537862633513,NACA0012,True,0.0,-16.679649673345324,-0.4522954953436978,0.02709426085692639,0.4522954953436978,0.02709426085692639,16.679649673345324,0.2395664055351017,6.009939879304516
