eval_index,span_m,root_chord_m,tip_chord_m,sweep_deg,twist_deg,airfoil_id,feasible,penalty,cost,obj_cl,obj_cd,CL,CD,LD,wing_area_m2,aspect_ratio
993,2.0,0.15,0.05124888471415445,9.857656161945561,5.0,NACA4412,True,0.0,-37.59152397934712,-1.0149618237574078,0.028476053160784377,1.0149618237574078,0.028476053160784377,37.59152397934712,0.20124888471415445,19.87588654556488
873,2.0,0.15,0.051733184270397546,10.99726796374695,4.467413815155659,NACA4412,True,0.0,-37.836892151214265,-0.9867042030250343,0.02746026619792702,0.9867042030250343,0.02746026619792702,37.836892151214265,0.20173318427039755,19.828170632742857
863,1.956282797926596,0.15,0.05,8.630383252981373,3.336082444052076,NACA4412,True,0.0,-37.94835034049415,-0.9368139259385565,0.02591704071159806,0.9368139259385565,0.02591704071159806,37.94835034049415,0.19562827979265962,19.562827979265958
761,2.0,0.15,0.05075495816031493,18.636550660632928,3.7428011040619626,NACA4412,True,0.0,-38.62263515972285,-0.9225280067917491,0.024946381386733538,0.9225280067917491,0.024946381386733538,38.62263515972285,0.2007549581603149,19.92478809318253
936,1.997799759152111,0.15484973245201886,0.05,29.795924274786252,5.0,NACA4412,True,0.0,-38.48633706587637,-0.9045407056300273,0.024428538980086456,0.9045407056300273,0.024428538980086456,38.48633706587637,0.20462437307750886,19.50502678464613
984,2.0,0.15,0.05331236053314448,20.789397716047716,3.2555253989847537,NACA4412,True,0.0,-38.60544838880642,-0.8877969627165511,0.023928849369606837,0.8877969627165511,0.023928849369606837,38.60544838880642,0.20331236053314447,19.67416043722492
864,1.9346368442933275,0.15,0.05,23.168399782525178,3.2000667522891333,NACA4412,True,0.0,-38.37278686805095,-0.870522781455807,0.02356646956997054,0.870522781455807,0.02356646956997054,38.37278686805095,0.19346368442933276,19.346368442933276
934,1.966875181996746,0.15,0.05,17.842994600534464,2.415929580785155,NACA4412,True,0.0,-38.66258693051912,-0.8629307235815858,0.02316135773609339,0.8629307235815858,0.02316135773609339,38.66258693051912,0.19668751819967462,19.668751819967458
806,2.0,0.15,0.05097694928658161,21.097708823096845,2.5129246947371247,NACA4412,True,0.0,-39.0550124065858,-0.8529622086997092,0.022593348426034363,0.8529622086997092,0.022593348426034363,39.0550124065858,0.2009769492865816,19.902779966553425
807,2.0,0.15,0.05,24.316581787347253,2.0152342519816826,NACA4412,True,0.0,-39.364495020084114,-0.813000864479181,0.021203100277444275,0.813000864479181,0.021203100277444275,39.364495020084114,0.2,20.0
951,1.9852931049866596,0.15,0.05,18.647362771122836,5.0,NACA2412,True,0.0,-38.989340891633724,-0.7940295944407737,0.020848468740631274,0.7940295944407737,0.020848468740631274,38.989340891633724,0.19852931049866596,19.852931049866594
881,1.9946491685573804,0.15,0.05220235324195777,18.645693979409426,0.8100604589827585,NACA4412,True,0.0,-38.837463007121094,-0.7846682328589244,0.02065131808295976,0.7846682328589244,0.02065131808295976,38.837463007121094,0.2016613778872084,19.72923792999144
962,1.9999051309417135,0.15,0.05348100063024186,27.648923599085304,1.4782598733393397,NACA4412,True,0.0,-39.11206984638256,-0.7675335364135311,0.019990519653971882,0.7675335364135311,0.019990519653971882,39.11206984638256,0.20347134860478736,19.656922511167195
985,1.9999872834702785,0.15,0.050942886442954784,26.961472117491844,1.0103760707500138,NACA4412,True,0.0,-39.29270376048063,-0.7520883326416842,0.01941012615221452,0.7520883326416842,0.01941012615221452,39.29270376048063,0.2009416087948609,19.906027218714712
979,1.9838307154678978,0.15,0.05,30.0,4.900013914695169,NACA2412,True,0.0,-39.281979527367405,-0.7277485552051436,0.018690946642810447,0.7277485552051436,0.018690946642810447,39.281979527367405,0.1983830715467898,19.838307154678976
991,1.9849496224213972,0.15,0.05,29.162259838313805,0.586231135635368,NACA4412,True,0.0,-39.18602229896751,-0.7196685935050783,0.018486620224813708,0.7196685935050783,0.018486620224813708,39.18602229896751,0.19849496224213972,19.849496224213972
820,1.997330469037209,0.15,0.05,28.99508374869083,4.23932336475552,NACA2412,True,0.0,-39.18962240208257,-0.7060643254550606,0.018059194469363233,0.7060643254550606,0.018059194469363233,39.18962240208257,0.1997330469037209,19.97330469037209
961,2.0,0.15,0.05,26.979401521139337,-0.5421163653509474,NACA4412,True,0.0,-38.831693309720656,-0.6836548749360803,0.0175140067272405,0.6836548749360803,0.0175140067272405,38.831693309720656,0.2,20.0
822,1.9847619680225796,0.15,0.05,30.0,3.605523462437654,NACA2412,True,0.0,-38.77704457052449,-0.6720345667677066,0.017214227896832652,0.6720345667677066,0.017214227896832652,38.77704457052449,0.19847619680225798,19.847619680225797
733,2.0,0.15163098716291296,0.054785763407493325,28.253111111444962,-1.3154048485015442,NACA4412,True,0.0,-37.73128181482075,-0.6407198937720799,0.016702978423401585,0.6407198937720799,0.016702978423401585,37.73128181482075,0.2064167505704063,19.37827230080171
994,1.9713400418096756,0.15096890927542325,0.05,30.0,2.8230704915824916,NACA2412,True,0.0,-38.05262744300247,-0.6376452944294803,0.01646825404493842,0.6376452944294803,0.01646825404493842,38.05262744300247,0.1980890290067289,19.618358371124955
861,2.0,0.1516452813058973,0.05514756048338028,27.65947580431225,-1.9185440051164881,NACA4412,True,0.0,-37.210852997883556,-0.6173533234623324,0.016166303469285038,0.6173533234623324,0.016166303469285038,37.210852997883556,0.2067928417892776,19.343029310830836
939,1.9994987637884225,0.15068595768639242,0.05035469232176244,24.689530704055933,5.0,NACA0012,True,0.0,-36.60956378386053,-0.5847925465711584,0.015263681564544329,0.5847925465711584,0.015263681564544329,36.60956378386053,0.20099026558126326,19.89148725600834
938,2.0,0.15,0.051353606671007114,30.0,-2.8979096832704436,NACA4412,True,0.0,-36.58260719080615,-0.5642744124784443,0.014694040514445091,0.5642744124784443,0.014694040514445091,36.58260719080615,0.2013536066710071,19.86554929972337
