x_over_c,Cp
1.000000000000000000e+00,3.659797511019057259e-01
9.937106918238993725e-01,3.988168480672563687e-01
9.874213836477987449e-01,4.314884436742434382e-01
9.811320754716981174e-01,4.571154081213351095e-01
9.748427672955974899e-01,4.592296878791417569e-01
9.685534591194968623e-01,4.035252067990634517e-01
9.622641509433962348e-01,2.382856544691314138e-01
9.559748427672956073e-01,-5.522937959505136440e-02
9.496855345911949797e-01,-3.755408345646358281e-01
9.433962264150943522e-01,-5.784019869647272216e-01
9.371069182389937247e-01,-6.423863738903445864e-01
9.308176100628930971e-01,-6.266451465910851670e-01
9.245283018867924696e-01,-5.807327048396602187e-01
9.182389937106918421e-01,-5.286614630033887874e-01
9.119496855345912145e-01,-4.795275224204220699e-01
9.056603773584905870e-01,-4.359897505438330434e-01
8.993710691823899595e-01,-3.982752560962992128e-01
8.930817610062893319e-01,-3.658080581855880364e-01
8.867924528301887044e-01,-3.378278077891876396e-01
8.805031446540880768e-01,-3.136080903089788485e-01
8.742138364779874493e-01,-2.925209352604745128e-01
8.679245283018868218e-01,-2.740446197467993894e-01
8.616352201257861942e-01,-2.577525503683326669e-01
8.553459119496855667e-01,-2.432976171862488712e-01
8.490566037735849392e-01,-2.303971846030006265e-01
8.427672955974843116e-01,-2.188202772069667290e-01
8.364779874213836841e-01,-2.083771595159944479e-01
8.301886792452830566e-01,-1.989110464403107681e-01
8.238993710691824290e-01,-1.902915693727154078e-01
8.176100628930818015e-01,-1.824096390471408036e-01
8.113207547169811740e-01,-1.751734016161585750e-01
8.050314465408805464e-01,-1.685050445299511868e-01
7.987421383647799189e-01,-1.623382619620354905e-01
7.924528301886792914e-01,-1.566162328835052353e-01
7.861635220125786638e-01,-1.512899989227611819e-01
7.798742138364780363e-01,-1.463171553614530662e-01
7.735849056603774088e-01,-1.416607886240022207e-01
7.672955974842767812e-01,-1.372886088344127398e-01
7.610062893081761537e-01,-1.331722375859334395e-01
7.547169811320755262e-01,-1.292866198868809491e-01
7.484276729559748986e-01,-1.256095359871765016e-01
7.421383647798742711e-01,-1.221211939650770351e-01
7.358490566037736436e-01,-1.188038879444222040e-01
7.295597484276730160e-01,-1.156417099054543041e-01
7.232704402515723885e-01,-1.126203054609937748e-01
7.169811320754717610e-01,-1.097266658552704666e-01
7.106918238993711334e-01,-1.069489499259610454e-01
7.044025157232705059e-01,-1.042763309425280838e-01
6.981132075471698784e-01,-1.016988641652178949e-01
6.918238993710692508e-01,-9.920737171204585536e-02
6.855345911949686233e-01,-9.679334191633737206e-02
6.792452830188679958e-01,-9.444884083617699488e-02
6.729559748427673682e-01,-9.216643396354418094e-02
6.666666666666667407e-01,-8.993911649379282558e-02
6.603773584905661131e-01,-8.776025077004678820e-02
6.540880503144654856e-01,-8.562350972348831135e-02
6.477987421383648581e-01,-8.352282529846744019e-02
6.415094339622642305e-01,-8.145234098784159826e-02
6.352201257861636030e-01,-7.940636771468589927e-02
6.289308176100629755e-01,-7.737934238585464364e-02
6.226415094339623479e-01,-7.536578851434883042e-02
6.163522012578617204e-01,-7.336027836388758772e-02
6.100628930817610929e-01,-7.135739611260039084e-02
6.037735849056604653e-01,-6.935170156516079487e-02
5.974842767295597268e-01,-6.733769396528233031e-02
5.911949685534590992e-01,-6.530977547431460195e-02
5.849056603773584717e-01,-6.326221388754871278e-02
5.786163522012578442e-01,-6.118910415831191330e-02
5.723270440251572166e-01,-5.908432829143928089e-02
5.660377358490565891e-01,-5.694151315254858403e-02
5.597484276729559616e-01,-5.475398571794776181e-02
5.534591194968553340e-01,-5.251472526205636093e-02
5.471698113207547065e-01,-5.021631194518971775e-02
5.408805031446540790e-01,-4.785087122449027675e-02
5.345911949685534514e-01,-4.541001346512896220e-02
5.283018867924528239e-01,-4.288476807808172531e-02
5.220125786163521964e-01,-4.026551145569023937e-02
5.157232704402515688e-01,-3.754188791819723647e-02
5.094339622641509413e-01,-3.470272282559405674e-02
5.031446540880503138e-01,-3.173592695257676510e-02
4.968553459119496862e-01,-2.862839117483395590e-02
4.905660377358490587e-01,-2.536587047899141467e-02
4.842767295597484312e-01,-2.193285629602126363e-02
4.779874213836478036e-01,-1.831243618238231896e-02
4.716981132075471761e-01,-1.448613995387471043e-02
