x_over_c,Cp
1.000000000000000000e+00,3.746046918801537728e-01
9.937106918238993725e-01,4.132444675406711232e-01
9.874213836477987449e-01,4.558053085298046092e-01
9.811320754716981174e-01,4.983604389012894487e-01
9.748427672955974899e-01,5.285658491064804121e-01
9.685534591194968623e-01,5.133486921131056313e-01
9.622641509433962348e-01,3.814217899715197646e-01
9.559748427672956073e-01,5.320486612689290240e-02
9.496855345911949797e-01,-3.860049511934937616e-01
9.433962264150943522e-01,-6.790709617255319408e-01
9.371069182389937247e-01,-7.577825414533188031e-01
9.308176100628930971e-01,-7.236280638403771448e-01
9.245283018867924696e-01,-6.558798996298829120e-01
9.182389937106918421e-01,-5.865824173306759537e-01
9.119496855345912145e-01,-5.251471429009628711e-01
9.056603773584905870e-01,-4.730234502424375265e-01
8.993710691823899595e-01,-4.293038512001561280e-01
8.930817610062893319e-01,-3.925969632529191511e-01
8.867924528301887044e-01,-3.615947650866417895e-01
8.805031446540880768e-01,-3.352078267241505038e-01
8.742138364779874493e-01,-3.125659608254902633e-01
8.679245283018868218e-01,-2.929834942547697718e-01
8.616352201257861942e-01,-2.759209549549472840e-01
8.553459119496855667e-01,-2.609521521878477301e-01
8.490566037735849392e-01,-2.477381152708193479e-01
8.427672955974843116e-01,-2.360071133645305075e-01
8.364779874213836841e-01,-2.255395150932881787e-01
8.301886792452830566e-01,-2.161563383183593423e-01
8.238993710691824290e-01,-2.077105649268211618e-01
8.176100628930818015e-01,-2.000805162121310765e-01
8.113207547169811740e-01,-1.931647650315793108e-01
8.050314465408805464e-01,-1.868781987752423657e-01
7.987421383647799189e-01,-1.811489492255087264e-01
7.924528301886792914e-01,-1.759159799408644975e-01
7.861635220125786638e-01,-1.711271760396557706e-01
7.798742138364780363e-01,-1.667378207515368693e-01
7.735849056603774088e-01,-1.627093719592558330e-01
7.672955974842767812e-01,-1.590084731459222578e-01
7.610062893081761537e-01,-1.556061488234856682e-01
7.547169811320755262e-01,-1.524771461679488294e-01
7.484276729559748986e-01,-1.495993933130541631e-01
7.421383647798742711e-01,-1.469535513361790446e-01
7.358490566037736436e-01,-1.445226419695180287e-01
7.295597484276730160e-01,-1.422917368928597881e-01
7.232704402515723885e-01,-1.402476974078974425e-01
7.169811320754717610e-01,-1.383789555752461542e-01
7.106918238993711334e-01,-1.366753296747713620e-01
7.044025157232705059e-01,-1.351278682465066883e-01
6.981132075471698784e-01,-1.337287180726283164e-01
6.918238993710692508e-01,-1.324710123376870996e-01
6.855345911949686233e-01,-1.313487759053968418e-01
6.792452830188679958e-01,-1.303568452145165146e-01
6.729559748427673682e-01,-1.294908007534500971e-01
6.666666666666667407e-01,-1.287469104460401415e-01
6.603773584905661131e-01,-1.281220825875475366e-01
6.540880503144654856e-01,-1.276138272238891425e-01
6.477987421383648581e-01,-1.272202250798717404e-01
6.415094339622642305e-01,-1.269399033222042839e-01
6.352201257861636030e-01,-1.267720175974536012e-01
6.289308176100629755e-01,-1.267162399195911338e-01
6.226415094339623479e-01,-1.267727521010468816e-01
6.163522012578617204e-01,-1.269422445291585877e-01
