x_over_c,Cp
1.000000000000000000e+00,4.121888971061975493e-01
9.937106918238993725e-01,4.526022983832084234e-01
9.874213836477987449e-01,4.981797524364057761e-01
9.811320754716981174e-01,5.459406402530579960e-01
9.748427672955974899e-01,5.852510396792625080e-01
9.685534591194968623e-01,5.858239642966271976e-01
9.622641509433962348e-01,4.791026593968864544e-01
9.559748427672956073e-01,1.814352320972238974e-01
9.496855345911949797e-01,-2.400462889385297505e-01
9.433962264150943522e-01,-5.393891746366312745e-01
9.371069182389937247e-01,-6.361062039365557030e-01
9.308176100628930971e-01,-6.193698444015742766e-01
9.245283018867924696e-01,-5.650525071559502344e-01
9.182389937106918421e-01,-5.055669697285798403e-01
9.119496855345912145e-01,-4.513118495190986401e-01
9.056603773584905870e-01,-4.045472223746040541e-01
8.993710691823899595e-01,-3.649270649172899894e-01
8.930817610062893319e-01,-3.314345950770896110e-01
8.867924528301887044e-01,-3.030123286467394372e-01
8.805031446540880768e-01,-2.787411561720476438e-01
8.742138364779874493e-01,-2.578691302455820011e-01
8.679245283018868218e-01,-2.397944816120562983e-01
8.616352201257861942e-01,-2.240385656505703427e-01
8.553459119496855667e-01,-2.102201969506305446e-01
8.490566037735849392e-01,-1.980343497220196092e-01
8.427672955974843116e-01,-1.872353646067801414e-01
8.364779874213836841e-01,-1.776239827671781679e-01
8.301886792452830566e-01,-1.690374068555176024e-01
8.238993710691824290e-01,-1.613416845303068392e-01
8.176100628930818015e-01,-1.544258521871708645e-01
8.113207547169811740e-01,-1.481974081597097204e-01
8.050314465408805464e-01,-1.425787914359044617e-01
7.987421383647799189e-01,-1.375046239654691416e-01
7.924528301886792914e-01,-1.329195360771304735e-01
7.861635220125786638e-01,-1.287764400423647704e-01
7.798742138364780363e-01,-1.250351504216222764e-01
7.735849056603774088e-01,-1.216612746481322560e-01
7.672955974842767812e-01,-1.186253156960990207e-01
7.610062893081761537e-01,-1.159019423730847098e-01
7.547169811320755262e-01,-1.134693930281276408e-01
7.484276729559748986e-01,-1.113089861896541244e-01
7.421383647798742711e-01,-1.094047175018910689e-01
7.358490566037736436e-01,-1.077429267963345705e-01
7.295597484276730160e-01,-1.063120225671811969e-01
7.232704402515723885e-01,-1.051022537742438701e-01
7.169811320754717610e-01,-1.041055209639416557e-01
7.106918238993711334e-01,-1.033152203197651442e-01
7.044025157232705059e-01,-1.027261155335084108e-01
6.981132075471698784e-01,-1.023342334069510251e-01
6.918238993710692508e-01,-1.021367799103971574e-01
6.855345911949686233e-01,-1.021320740853628450e-01
6.792452830188679958e-01,-1.023194977187247279e-01
6.729559748427673682e-01,-1.026994591620080666e-01
6.666666666666667407e-01,-1.032733700432975077e-01
6.603773584905661131e-01,-1.040436339372774466e-01
6.540880503144654856e-01,-1.050136463343989135e-01
6.477987421383648581e-01,-1.061878054939786598e-01
6.415094339622642305e-01,-1.075715339870406684e-01
6.352201257861636030e-01,-1.091713109404301996e-01
6.289308176100629755e-01,-1.109947151907015872e-01
6.226415094339623479e-01,-1.130504797503237846e-01
6.163522012578617204e-01,-1.153485581853022079e-01
6.100628930817610929e-01,-1.179002037076068987e-01
6.037735849056604653e-01,-1.207180620030470219e-01
5.974842767295597268e-01,-1.238162790509578226e-01
5.911949685534590992e-01,-1.272106254519791424e-01
5.849056603773584717e-01,-1.309186390708423353e-01
5.786163522012578442e-01,-1.349597881295239166e-01
5.723270440251572166e-01,-1.393556572606389210e-01
5.660377358490565891e-01,-1.441301594609512016e-01
5.597484276729559616e-01,-1.493097773813614193e-01
5.534591194968553340e-01,-1.549238379655679676e-01
5.471698113207547065e-01,-1.610048251199114322e-01
5.408805031446540790e-01,-1.675887358794956317e-01
5.345911949685534514e-01,-1.747154864515267914e-01
5.283018867924528239e-01,-1.824293755907651082e-01
5.220125786163521964e-01,-1.907796140231157178e-01
5.157232704402515688e-01,-1.998209301161206763e-01
5.094339622641509413e-01,-2.096142637395317365e-01
5.031446540880503138e-01,-2.202275623119474002e-01
4.968553459119496862e-01,-2.317366954447066529e-01
4.905660377358490587e-01,-2.442265074332452546e-01
4.842767295597484312e-01,-2.577920301779061951e-01
4.779874213836478036e-01,-2.725398830162293340e-01
4.716981132075471761e-01,-2.885898904962342915e-01
4.654088050314465486e-01,-3.060769543934602765e-01
4.591194968553459210e-01,-3.251532223415043443e-01
4.528301886792452935e-01,-3.459906023487797633e-01
4.465408805031446660e-01,-3.687836802040902473e-01
4.402515723270440384e-01,-3.937531052284095612e-01
4.339622641509434109e-01,-4.211495187494300740e-01
4.276729559748427834e-01,-4.512581085366116351e-01
4.213836477987421558e-01,-4.844038802932242316e-01
4.150943396226415283e-01,-5.209577425451141774e-01
4.088050314465409008e-01,-5.613435012352496756e-01
4.025157232704402732e-01,-6.060458507553538876e-01
3.962264150943396457e-01,-6.556194222794602400e-01
3.899371069182390181e-01,-7.106988976383659118e-01
3.836477987421383906e-01,-7.720101015550873136e-01
3.773584905660377631e-01,-8.403818226542398850e-01
3.710691823899371355e-01,-9.167578483497313968e-01
3.647798742138365080e-01,-1.002208278286661702e+00
3.584905660377358805e-01,-1.097938531611174273e+00
3.522012578616352529e-01,-1.205293484611779764e+00
3.459119496855346254e-01,-1.325752739166269123e+00
3.396226415094339979e-01,-1.460910982861105545e+00
3.333333333333333703e-01,-1.612434629540435260e+00
3.270440251572327428e-01,-1.781982399069431899e+00
3.207547169811321153e-01,-1.971073466797109486e+00
3.144654088050314877e-01,-2.180883162451794366e+00
3.081761006289308602e-01,-2.411944941571398271e+00
3.018867924528302327e-01,-2.663742306238012780e+00
2.955974842767295496e-01,-2.934191569111894715e+00
2.893081761006289221e-01,-3.219053375915414961e+00
2.830188679245282946e-01,-3.511373036548782522e+00
2.767295597484276670e-01,-3.801131451327263377e+00
2.704402515723270395e-01,-4.075360875272748373e+00
2.641509433962264120e-01,-4.318983432604261097e+00
2.578616352201257844e-01,-4.516493091089055056e+00
2.515723270440251569e-01,-4.654298517516412659e+00
2.452830188679245293e-01,-4.723171654584166212e+00
2.389937106918239018e-01,-4.720027322814297932e+00
2.327044025157232743e-01,-4.648399430785840281e+00
2.264150943396226467e-01,-4.517467269300976085e+00
2.201257861635220192e-01,-4.340046274912500834e+00
2.138364779874213917e-01,-4.130265001379159528e+00
2.075471698113207641e-01,-3.901584377368776835e+00
2.012578616352201366e-01,-3.665510339479572721e+00
1.949685534591195091e-01,-3.431028700694541911e+00
1.886792452830188815e-01,-3.204592679568040836e+00
1.823899371069182540e-01,-2.990437001635622316e+00
1.761006289308176265e-01,-2.791026397798717085e+00
1.698113207547169989e-01,-2.607511950025581449e+00
1.635220125786163714e-01,-2.440129466621874688e+00
1.572327044025157439e-01,-2.288516393152307593e+00
1.509433962264151163e-01,-2.151947779346570666e+00
1.446540880503144610e-01,-2.029502600436953852e+00
1.383647798742138335e-01,-1.920174588823619466e+00
1.320754716981132060e-01,-1.822940554893477838e+00
1.257861635220125784e-01,-1.736796296374119031e+00
1.194968553459119509e-01,-1.660766785930192668e+00
1.132075471698113234e-01,-1.593893837671628955e+00
1.069182389937106958e-01,-1.535200964178794258e+00
1.006289308176100683e-01,-1.483631649796918417e+00
9.433962264150944077e-02,-1.437954082991620197e+00
8.805031446540881324e-02,-1.396623785725214617e+00
8.176100628930818570e-02,-1.357599110761125161e+00
7.547169811320755817e-02,-1.318121193597086460e+00
