x_over_c,Cp
1.000000000000000000e+00,4.145322055997867627e-01
9.937106918238993725e-01,4.525302250315317298e-01
9.874213836477987449e-01,4.933133642775773264e-01
9.811320754716981174e-01,5.317738117235455420e-01
9.748427672955974899e-01,5.540668091226117475e-01
9.685534591194968623e-01,5.286483681950620017e-01
9.622641509433962348e-01,4.026822391833020376e-01
9.559748427672956073e-01,1.443736884066013637e-01
9.496855345911949797e-01,-1.658103348226498408e-01
9.433962264150943522e-01,-3.863346674941556813e-01
9.371069182389937247e-01,-4.790405816822893570e-01
9.308176100628930971e-01,-4.901817966560884088e-01
9.245283018867924696e-01,-4.655874595973208407e-01
9.182389937106918421e-01,-4.296583953497916664e-01
9.119496855345912145e-01,-3.927444988999047037e-01
9.056603773584905870e-01,-3.586213766790988799e-01
8.993710691823899595e-01,-3.283352121913707400e-01
8.930817610062893319e-01,-3.018796167733321933e-01
8.867924528301887044e-01,-2.788869120020625036e-01
8.805031446540880768e-01,-2.589036985381414357e-01
8.742138364779874493e-01,-2.414947827025850646e-01
8.679245283018868218e-01,-2.262770418986417287e-01
8.616352201257861942e-01,-2.129254177090573741e-01
8.553459119496855667e-01,-2.011685796779703050e-01
8.490566037735849392e-01,-1.907814868374551054e-01
8.427672955974843116e-01,-1.815777186976497148e-01
8.364779874213836841e-01,-1.734026080725767915e-01
8.301886792452830566e-01,-1.661274447163456625e-01
8.238993710691824290e-01,-1.596447183279197102e-01
8.176100628930818015e-01,-1.538642670154584113e-01
8.113207547169811740e-01,-1.487101770614780438e-01
8.050314465408805464e-01,-1.441182912392469095e-01
7.987421383647799189e-01,-1.400342042405182674e-01
7.924528301886792914e-01,-1.364116460149706889e-01
7.861635220125786638e-01,-1.332111736654486567e-01
7.798742138364780363e-01,-1.303991090920266771e-01
7.735849056603774088e-01,-1.279466729186329310e-01
7.672955974842767812e-01,-1.258292757990733257e-01
7.610062893081761537e-01,-1.240259364860389901e-01
7.547169811320755262e-01,-1.225188025205246056e-01
7.484276729559748986e-01,-1.212927544516817502e-01
7.421383647798742711e-01,-1.203350784447470012e-01
7.358490566037736436e-01,-1.196351952265957141e-01
7.295597484276730160e-01,-1.191844357485707384e-01
7.232704402515723885e-01,-1.189758558642375341e-01
7.169811320754717610e-01,-1.190040838408306101e-01
7.106918238993711334e-01,-1.192651957360515436e-01
7.044025157232705059e-01,-1.197566146448054702e-01
6.981132075471698784e-01,-1.204770306061331286e-01
6.918238993710692508e-01,-1.214263385998437528e-01
6.855345911949686233e-01,-1.226055925869697916e-01
6.792452830188679958e-01,-1.240169739829586337e-01
6.729559748427673682e-01,-1.256637733171628302e-01
6.666666666666667407e-01,-1.275503841420346784e-01
6.603773584905661131e-01,-1.296823085231129102e-01
6.540880503144654856e-01,-1.320661736762362981e-01
6.477987421383648581e-01,-1.347097595298212269e-01
6.415094339622642305e-01,-1.376220371842769019e-01
6.352201257861636030e-01,-1.408132184235246775e-01
6.289308176100629755e-01,-1.442948166102571150e-01
6.226415094339623479e-01,-1.480797194714258413e-01
6.163522012578617204e-01,-1.521822744577230324e-01
6.100628930817610929e-01,-1.566183875443694085e-01
6.037735849056604653e-01,-1.614056365341680621e-01
5.974842767295597268e-01,-1.665634001313602841e-01
5.911949685534590992e-01,-1.721130042801735094e-01
5.849056603773584717e-01,-1.780778875092221547e-01
5.786163522012578442e-01,-1.844837872963538405e-01
5.723270440251572166e-01,-1.913589497727878896e-01
5.660377358490565891e-01,-1.987343654252904379e-01
5.597484276729559616e-01,-2.066440338361152929e-01
5.534591194968553340e-01,-2.151252609279008521e-01
5.471698113207547065e-01,-2.242189926607223160e-01
5.408805031446540790e-01,-2.339701896669672543e-01
5.345911949685534514e-01,-2.444282479126396179e-01
5.283018867924528239e-01,-2.556474711466505401e-01
5.220125786163521964e-01,-2.676876016472393705e-01
5.157232704402515688e-01,-2.806144165996968809e-01
5.094339622641509413e-01,-2.945003983419078875e-01
5.031446540880503138e-01,-3.094254876890496497e-01
4.968553459119496862e-01,-3.254779305839510251e-01
4.905660377358490587e-01,-3.427552293923037396e-01
4.842767295597484312e-01,-3.613652112331653399e-01
4.779874213836478036e-01,-3.814272267433123087e-01
4.716981132075471761e-01,-4.030734935238138306e-01
4.654088050314465486e-01,-4.264505990668112645e-01
4.591194968553459210e-01,-4.517211780012175826e-01
4.528301886792452935e-01,-4.790657777262261607e-01
4.465408805031446660e-01,-5.086849244893176802e-01
4.402515723270440384e-01,-5.408013980994672565e-01
4.339622641509434109e-01,-5.756627168875954048e-01
4.276729559748427834e-01,-6.135438240396449139e-01
4.213836477987421558e-01,-6.547499503827085565e-01
4.150943396226415283e-01,-6.996196048456981842e-01
4.088050314465409008e-01,-7.485276090930002013e-01
4.025157232704402732e-01,-8.018880431739137116e-01
3.962264150943396457e-01,-8.601542814737521692e-01
3.899371069182390181e-01,-9.238172485406370704e-01
3.836477987421383906e-01,-9.934261899809821994e-01
3.773584905660377631e-01,-1.069579325095856071e+00
3.710691823899371355e-01,-1.152920736931208889e+00
3.647798742138365080e-01,-1.244135221947673564e+00
3.584905660377358805e-01,-1.343938394640785017e+00
3.522012578616352529e-01,-1.453060122690192468e+00
3.459119496855346254e-01,-1.572218835257862324e+00
3.396226415094339979e-01,-1.702083687190730998e+00
3.333333333333333703e-01,-1.843221074569655116e+00
3.270440251572327428e-01,-1.996021769158458969e+00
3.207547169811321153e-01,-2.160605283455023340e+00
3.144654088050314877e-01,-2.336699464707551410e+00
3.081761006289308602e-01,-2.523496370868557381e+00
3.018867924528302327e-01,-2.719490892974535168e+00
2.955974842767295496e-01,-2.922316851607023036e+00
2.893081761006289221e-01,-3.128606211514696867e+00
2.830188679245282946e-01,-3.333909004601737003e+00
2.767295597484276670e-01,-3.532720748645509445e+00
2.704402515723270395e-01,-3.718664542787334604e+00
2.641509433962264120e-01,-3.884859687705290554e+00
2.578616352201257844e-01,-4.024473415392122000e+00
2.515723270440251569e-01,-4.131400649743214970e+00
2.452830188679245293e-01,-4.200963255623211268e+00
2.389937106918239018e-01,-4.230487903129269256e+00
2.327044025157232743e-01,-4.219631078540868607e+00
2.264150943396226467e-01,-4.170375440854514615e+00
2.201257861635220192e-01,-4.086705526172591973e+00
2.138364779874213917e-01,-3.974049764542073149e+00
2.075471698113207641e-01,-3.838620219724315774e+00
2.012578616352201366e-01,-3.686780455133829015e+00
1.949685534591195091e-01,-3.524535597778353235e+00
1.886792452830188815e-01,-3.357188329514605662e+00
1.823899371069182540e-01,-3.189159839131001206e+00
1.761006289308176265e-01,-3.023946217916908985e+00
1.698113207547169989e-01,-2.864169417944720131e+00
1.635220125786163714e-01,-2.711683152623118875e+00
1.572327044025157439e-01,-2.567702036243738384e+00
1.509433962264151163e-01,-2.432932026538855652e+00
1.446540880503144610e-01,-2.307688995159031364e+00
1.383647798742138335e-01,-2.191998824251228939e+00
1.320754716981132060e-01,-2.085676683113008245e+00
1.257861635220125784e-01,-1.988385436113033311e+00
1.194968553459119509e-01,-1.899673953000220905e+00
1.132075471698113234e-01,-1.818995857526342963e+00
1.069182389937106958e-01,-1.745708273377462483e+00
1.006289308176100683e-01,-1.679048657411187140e+00
9.433962264150944077e-02,-1.618086179496952770e+00
8.805031446540881324e-02,-1.561643033379358947e+00
8.176100628930818570e-02,-1.508182240734049273e+00
7.547169811320755817e-02,-1.455665608394080657e+00
6.918238993710691676e-02,-1.401405287145377265e+00
6.289308176100628922e-02,-1.341974245546558642e+00
5.660377358490566169e-02,-1.273309304344311776e+00
5.031446540880503415e-02,-1.191209991075827368e+00
4.402515723270440662e-02,-1.092411307707779944e+00
3.773584905660377908e-02,-9.761233557913349124e-01
3.144654088050314461e-02,-8.453426846914657844e-01
2.515723270440251708e-02,-7.067903767724532660e-01
1.886792452830188954e-02,-5.688038636564620720e-01
1.257861635220125854e-02,-4.377596895149036271e-01
6.289308176100629269e-03,-3.132365933112095657e-01
0.000000000000000000e+00,-1.265450767192066728e-01
0.000000000000000000e+00,4.450423844691342445e-02
6.289308176100629269e-03,1.254582151773666610e-01
1.257861635220125854e-02,1.627184604964576620e-01
1.886792452830188954e-02,1.858904580794443762e-01
2.515723270440251708e-02,1.917387548549492893e-01
3.144654088050314461e-02,1.753906189293417128e-01
3.773584905660377908e-02,1.342579986721501584e-01
4.402515723270440662e-02,7.087853395757170993e-02
5.031446540880503415e-02,-6.832373060360996675e-03
5.660377358490566169e-02,-8.852266737037184363e-02
6.289308176100628922e-02,-1.653333932742799828e-01
6.918238993710691676e-02,-2.320939346468489095e-01
7.547169811320755817e-02,-2.872089700888240671e-01
8.176100628930818570e-02,-3.313906161035746756e-01
8.805031446540881324e-02,-3.663879626900019559e-01
9.433962264150944077e-02,-3.941649040905108592e-01
1.006289308176100683e-01,-4.165018069928008160e-01
1.069182389937106958e-01,-4.348612120577235451e-01
1.132075471698113234e-01,-4.503824610209381518e-01
1.194968553459119509e-01,-4.639251385813205619e-01
1.257861635220125784e-01,-4.761222650559209235e-01
1.320754716981132060e-01,-4.874271800768803509e-01
1.383647798742138335e-01,-4.981489721519043457e-01
1.446540880503144610e-01,-5.084757066938792036e-01
1.509433962264151163e-01,-5.184859875998129031e-01
1.572327044025157439e-01,-5.281493084314028419e-01
1.635220125786163714e-01,-5.373150391786227775e-01
1.698113207547169989e-01,-5.456891601636795208e-01
1.761006289308176265e-01,-5.527972926638049511e-01
1.823899371069182540e-01,-5.579326124144501353e-01
1.886792452830188815e-01,-5.600886805250631095e-01
1.949685534591195091e-01,-5.578816083409894322e-01
2.012578616352201366e-01,-5.494758142240083743e-01
2.075471698113207641e-01,-5.325462563951091077e-01
