x_over_c,Cp
1.000000000000000000e+00,4.088461280085290417e-01
9.937106918238993725e-01,4.468996877005665391e-01
9.874213836477987449e-01,4.863420522460834006e-01
9.811320754716981174e-01,5.206402886265140140e-01
9.748427672955974899e-01,5.343653952686255870e-01
9.685534591194968623e-01,4.978918562632160816e-01
9.622641509433962348e-01,3.738976038237364907e-01
9.559748427672956073e-01,1.584915034870018058e-01
9.496855345911949797e-01,-7.838455750996042859e-02
9.433962264150943522e-01,-2.516466770281169385e-01
9.371069182389937247e-01,-3.403978812230730178e-01
9.308176100628930971e-01,-3.696115164059079472e-01
9.245283018867924696e-01,-3.673259307122962447e-01
9.182389937106918421e-01,-3.511062343364961258e-01
9.119496855345912145e-01,-3.299523176897698473e-01
9.056603773584905870e-01,-3.080538723442800553e-01
8.993710691823899595e-01,-2.872132449994917458e-01
8.930817610062893319e-01,-2.681062476788569349e-01
8.867924528301887044e-01,-2.508941712313370598e-01
8.805031446540880768e-01,-2.355140187311683952e-01
8.742138364779874493e-01,-2.218147059325616954e-01
8.679245283018868218e-01,-2.096200294732892822e-01
8.616352201257861942e-01,-1.987567641077430114e-01
8.553459119496855667e-01,-1.890661615851807476e-01
8.490566037735849392e-01,-1.804076296186347683e-01
8.427672955974843116e-01,-1.726588392769017322e-01
8.364779874213836841e-01,-1.657143199505872744e-01
8.301886792452830566e-01,-1.594835306980910694e-01
8.238993710691824290e-01,-1.538888693724176360e-01
8.176100628930818015e-01,-1.488638207651462597e-01
8.113207547169811740e-01,-1.443513178728204061e-01
8.050314465408805464e-01,-1.403023299327090800e-01
7.987421383647799189e-01,-1.366746638350924137e-01
7.924528301886792914e-01,-1.334319550670637344e-01
7.861635220125786638e-01,-1.305428219134929790e-01
7.798742138364780363e-01,-1.279801578800843220e-01
7.735849056603774088e-01,-1.257205400197611844e-01
7.672955974842767812e-01,-1.237437339610605314e-01
7.610062893081761537e-01,-1.220322794542283429e-01
7.547169811320755262e-01,-1.205711429583173899e-01
7.484276729559748986e-01,-1.193474261275961901e-01
7.421383647798742711e-01,-1.183501210237707379e-01
7.358490566037736436e-01,-1.175699045173606017e-01
7.295597484276730160e-01,-1.169989656923302590e-01
7.232704402515723885e-01,-1.166308611781354809e-01
7.169811320754717610e-01,-1.164603942442081763e-01
7.106918238993711334e-01,-1.164835142394415879e-01
7.044025157232705059e-01,-1.166972335738065691e-01
6.981132075471698784e-01,-1.170995599459014880e-01
6.918238993710692508e-01,-1.176894419396448122e-01
6.855345911949686233e-01,-1.184667264622110139e-01
6.792452830188679958e-01,-1.194321267873941217e-01
6.729559748427673682e-01,-1.205872002148933309e-01
6.666666666666667407e-01,-1.219343345656132005e-01
6.603773584905661131e-01,-1.234767429132921368e-01
6.540880503144654856e-01,-1.252184661096134022e-01
6.477987421383648581e-01,-1.271643827984090258e-01
6.415094339622642305e-01,-1.293202267386766025e-01
6.352201257861636030e-01,-1.316926113693615008e-01
6.289308176100629755e-01,-1.342890616540171056e-01
6.226415094339623479e-01,-1.371180533430633730e-01
6.163522012578617204e-01,-1.401890598873989369e-01
6.100628930817610929e-01,-1.435126073314694217e-01
6.037735849056604653e-01,-1.471003376080461944e-01
5.974842767295597268e-01,-1.509650807522724403e-01
5.911949685534590992e-01,-1.551209366501524745e-01
5.849056603773584717e-01,-1.595833670375057523e-01
5.786163522012578442e-01,-1.643692985702029929e-01
5.723270440251572166e-01,-1.694972378957189107e-01
5.660377358490565891e-01,-1.749873997698194739e-01
5.597484276729559616e-01,-1.808618493802234273e-01
5.534591194968553340e-01,-1.871446601605777360e-01
5.471698113207547065e-01,-1.938620885013886408e-01
5.408805031446540790e-01,-2.010427668872107887e-01
5.345911949685534514e-01,-2.087179171074042827e-01
5.283018867924528239e-01,-2.169215852955845847e-01
5.220125786163521964e-01,-2.256909006424094866e-01
5.157232704402515688e-01,-2.350663596865518734e-01
5.094339622641509413e-01,-2.450921381042423519e-01
5.031446540880503138e-01,-2.558164318681166449e-01
4.968553459119496862e-01,-2.672918295032900016e-01
4.905660377358490587e-01,-2.795757168958166172e-01
4.842767295597484312e-01,-2.927307156565137625e-01
4.779874213836478036e-01,-3.068251553470666693e-01
4.716981132075471761e-01,-3.219335788503179252e-01
4.654088050314465486e-01,-3.381372787022403070e-01
4.591194968553459210e-01,-3.555248601561507016e-01
4.528301886792452935e-01,-3.741928239363916386e-01
4.465408805031446660e-01,-3.942461578243285913e-01
4.402515723270440384e-01,-4.157989211080328484e-01
4.339622641509434109e-01,-4.389747991485966061e-01
4.276729559748427834e-01,-4.639075964159247167e-01
4.213836477987421558e-01,-4.907416247764282424e-01
4.150943396226415283e-01,-5.196319289292175014e-01
4.088050314465409008e-01,-5.507442719552229082e-01
4.025157232704402732e-01,-5.842547801818778197e-01
3.962264150943396457e-01,-6.203466948915197232e-01
3.899371069182390181e-01,-6.592066048597926553e-01
3.836477987421383906e-01,-7.010411030768046725e-01
3.773584905660377631e-01,-7.460640421000996891e-01
3.710691823899371355e-01,-7.944915056820289756e-01
3.647798742138365080e-01,-8.465364053751127660e-01
3.584905660377358805e-01,-9.024010693927664306e-01
3.522012578616352529e-01,-9.622673525755189861e-01
3.459119496855346254e-01,-1.026283762140479006e+00
3.396226415094339979e-01,-1.094549102100176530e+00
3.333333333333333703e-01,-1.167092220689343041e+00
3.270440251572327428e-01,-1.243847641229435474e+00
3.207547169811321153e-01,-1.324627218171758436e+00
3.144654088050314877e-01,-1.409088540348075735e+00
3.081761006289308602e-01,-1.496701645976802997e+00
3.018867924528302327e-01,-1.586716727186423981e+00
2.955974842767295496e-01,-1.678136823547071277e+00
2.893081761006289221e-01,-1.769700858581072733e+00
2.830188679245282946e-01,-1.859883435363944848e+00
2.767295597484276670e-01,-1.946918101301651660e+00
