x_over_c,Cp
1.000000000000000000e+00,4.146647873527200545e-01
9.937106918238993725e-01,4.543313961714976479e-01
9.874213836477987449e-01,4.988115527131211646e-01
9.811320754716981174e-01,5.449010092174335629e-01
9.748427672955974899e-01,5.815927436560976993e-01
9.685534591194968623e-01,5.780685678136079364e-01
9.622641509433962348e-01,4.654804014523583611e-01
9.559748427672956073e-01,1.617064595263377758e-01
9.496855345911949797e-01,-2.618908608808787619e-01
9.433962264150943522e-01,-5.579596581135490840e-01
9.371069182389937247e-01,-6.496133030993762603e-01
9.308176100628930971e-01,-6.286363025414229977e-01
9.245283018867924696e-01,-5.713207009457448304e-01
9.182389937106918421e-01,-5.097948569147294773e-01
9.119496855345912145e-01,-4.541449604633933657e-01
9.056603773584905870e-01,-4.064115215026276040e-01
8.993710691823899595e-01,-3.661078061845033371e-01
8.930817610062893319e-01,-3.321278948052786006e-01
8.867924528301887044e-01,-3.033570300183738855e-01
8.805031446540880768e-01,-2.788384693224914557e-01
8.742138364779874493e-01,-2.577949355636939277e-01
8.679245283018868218e-01,-2.396072133351281330e-01
8.616352201257861942e-01,-2.237843873567881836e-01
8.553459119496855667e-01,-2.099364813304145372e-01
8.490566037735849392e-01,-1.977520721002821169e-01
8.427672955974843116e-01,-1.869807849763405194e-01
8.364779874213836841e-01,-1.774198518916059175e-01
8.301886792452830566e-01,-1.689038477321820331e-01
8.238993710691824290e-01,-1.612968484075889553e-01
8.176100628930818015e-01,-1.544864154516985000e-01
8.113207547169811740e-01,-1.483789552476024731e-01
8.050314465408805464e-01,-1.428961150458774032e-01
7.987421383647799189e-01,-1.379719645932433458e-01
7.924528301886792914e-01,-1.335507766124248707e-01
7.861635220125786638e-01,-1.295852668481776160e-01
7.798742138364780363e-01,-1.260351892993927247e-01
7.735849056603774088e-01,-1.228662079606470670e-01
7.672955974842767812e-01,-1.200489853961099751e-01
7.610062893081761537e-01,-1.175584425852231885e-01
7.547169811320755262e-01,-1.153731550303582765e-01
7.484276729559748986e-01,-1.134748580530036133e-01
7.421383647798742711e-01,-1.118480402145476393e-01
7.358490566037736436e-01,-1.104796083792232153e-01
7.295597484276730160e-01,-1.093586114535869402e-01
7.232704402515723885e-01,-1.084760125552777232e-01
7.169811320754717610e-01,-1.078245014797127865e-01
7.106918238993711334e-01,-1.073983409923631172e-01
7.044025157232705059e-01,-1.071932417846053198e-01
6.981132075471698784e-01,-1.072062619744560408e-01
6.918238993710692508e-01,-1.074357278712616548e-01
6.855345911949686233e-01,-1.078811734026277058e-01
6.792452830188679958e-01,-1.085432961584757994e-01
6.729559748427673682e-01,-1.094239284690412539e-01
6.666666666666667407e-01,-1.105260223225774663e-01
6.603773584905661131e-01,-1.118536472618323341e-01
6.540880503144654856e-01,-1.134120006896701671e-01
6.477987421383648581e-01,-1.152074302748733459e-01
6.415094339622642305e-01,-1.172474683883972801e-01
6.352201257861636030e-01,-1.195408787262401962e-01
6.289308176100629755e-01,-1.220977154944518084e-01
6.226415094339623479e-01,-1.249293957511727893e-01
6.163522012578617204e-01,-1.280487857257810447e-01
6.100628930817610929e-01,-1.314703021722241072e-01
