x_over_c,Cp
1.000000000000000000e+00,3.904765886288824595e-01
9.937106918238993725e-01,4.263935062315394875e-01
9.874213836477987449e-01,4.638816045838878299e-01
9.811320754716981174e-01,4.970378869413850653e-01
9.748427672955974899e-01,5.107743916892686364e-01
9.685534591194968623e-01,4.720607794771338739e-01
9.622641509433962348e-01,3.279771100357988800e-01
9.559748427672956073e-01,5.186147327465939760e-02
9.496855345911949797e-01,-2.661816169475414995e-01
9.433962264150943522e-01,-4.820038965529083175e-01
9.371069182389937247e-01,-5.640539048681669776e-01
9.308176100628930971e-01,-5.644682707068560124e-01
9.245283018867924696e-01,-5.311145515048898424e-01
9.182389937106918421e-01,-4.884861410032332873e-01
9.119496855345912145e-01,-4.465165660314354135e-01
9.056603773584905870e-01,-4.085538271576705238e-01
8.993710691823899595e-01,-3.753126357538900670e-01
8.930817610062893319e-01,-3.465486011691016888e-01
8.867924528301887044e-01,-3.217263561259544602e-01
8.805031446540880768e-01,-3.002740315286809292e-01
8.742138364779874493e-01,-2.816717691910815002e-01
8.679245283018868218e-01,-2.654750325777031073e-01
8.616352201257861942e-01,-2.513135011944811481e-01
8.553459119496855667e-01,-2.388819564318243049e-01
8.490566037735849392e-01,-2.279295981296365348e-01
8.427672955974843116e-01,-2.182501436622834579e-01
8.364779874213836841e-01,-2.096734038217042961e-01
8.301886792452830566e-01,-2.020583845291485936e-01
8.238993710691824290e-01,-1.952877387628979555e-01
8.176100628930818015e-01,-1.892633392421492200e-01
8.113207547169811740e-01,-1.839027535768511523e-01
8.050314465408805464e-01,-1.791364355186102486e-01
7.987421383647799189e-01,-1.749054808153649443e-01
7.924528301886792914e-01,-1.711598274860768321e-01
7.861635220125786638e-01,-1.678568063250309716e-01
7.798742138364780363e-01,-1.649599682148696900e-01
7.735849056603774088e-01,-1.624381311000573369e-01
7.672955974842767812e-01,-1.602646020962252837e-01
7.610062893081761537e-01,-1.584165399619605896e-01
7.547169811320755262e-01,-1.568744306851890258e-01
7.484276729559748986e-01,-1.556216547518700644e-01
7.421383647798742711e-01,-1.546441291709592658e-01
7.358490566037736436e-01,-1.539300108341696838e-01
7.295597484276730160e-01,-1.534694505264619924e-01
7.232704402515723885e-01,-1.532543890516664398e-01
7.169811320754717610e-01,-1.532783886328199507e-01
7.106918238993711334e-01,-1.535364940917729459e-01
7.044025157232705059e-01,-1.540251193862993695e-01
6.981132075471698784e-01,-1.547419559455400773e-01
6.918238993710692508e-01,-1.556858999427177537e-01
6.855345911949686233e-01,-1.568569962134895857e-01
6.792452830188679958e-01,-1.582563969970030016e-01
6.729559748427673682e-01,-1.598863340665879207e-01
6.666666666666667407e-01,-1.617501031451182847e-01
6.603773584905661131e-01,-1.638520597802850531e-01
6.540880503144654856e-01,-1.661976260980670972e-01
6.477987421383648581e-01,-1.687933080676553566e-01
6.415094339622642305e-01,-1.716467231051403974e-01
6.352201257861636030e-01,-1.747666380226187144e-01
6.289308176100629755e-01,-1.781630174991606363e-01
6.226415094339623479e-01,-1.818470834149006343e-01
6.163522012578617204e-01,-1.858313855533784142e-01
6.100628930817610929e-01,-1.901298843440102360e-01
6.037735849056604653e-01,-1.947580464896259134e-01
5.974842767295597268e-01,-1.997329545069865819e-01
5.911949685534590992e-01,-2.050734314043807238e-01
5.849056603773584717e-01,-2.108001819334692772e-01
5.786163522012578442e-01,-2.169359520859877044e-01
5.723270440251572166e-01,-2.235057087636866946e-01
5.660377358490565891e-01,-2.305368418358453297e-01
5.597484276729559616e-01,-2.380593911171577926e-01
5.534591194968553340e-01,-2.461063011540465251e-01
5.471698113207547065e-01,-2.547137071040033174e-01
5.408805031446540790e-01,-2.639212554348349116e-01
5.345911949685534514e-01,-2.737724636628360297e-01
5.283018867924528239e-01,-2.843151238945689219e-01
5.220125786163521964e-01,-2.956017555384775619e-01
5.157232704402515688e-01,-3.076901132106701908e-01
5.094339622641509413e-01,-3.206437565713107229e-01
5.031446540880503138e-01,-3.345326895872899886e-01
4.968553459119496862e-01,-3.494340775090365447e-01
4.905660377358490587e-01,-3.654330506506477949e-01
4.842767295597484312e-01,-3.826236048339419771e-01
4.779874213836478036e-01,-4.011096090389822955e-01
4.716981132075471761e-01,-4.210059313062404218e-01
4.654088050314465486e-01,-4.424396941270261063e-01
4.591194968553459210e-01,-4.655516702481719005e-01
4.528301886792452935e-01,-4.904978287309251783e-01
4.465408805031446660e-01,-5.174510388554447449e-01
4.402515723270440384e-01,-5.466029355073176443e-01
4.339622641509434109e-01,-5.781659432632060280e-01
4.276729559748427834e-01,-6.123754464613615500e-01
4.213836477987421558e-01,-6.494920776628012593e-01
4.150943396226415283e-01,-6.898040751297960238e-01
4.088050314465409008e-01,-7.336296286502821395e-01
4.025157232704402732e-01,-7.813190887504861681e-01
3.962264150943396457e-01,-8.332547412543684917e-01
3.899371069182390181e-01,-8.898492709145358059e-01
3.836477987421383906e-01,-9.515621787473209636e-01
3.773584905660377631e-01,-1.018891348529554541e+00
3.710691823899371355e-01,-1.092369600943887686e+00
3.647798742138365080e-01,-1.172559291960109551e+00
3.584905660377358805e-01,-1.260042675957890435e+00
3.522012578616352529e-01,-1.355406383918653646e+00
3.459119496855346254e-01,-1.459217930401293106e+00
3.396226415094339979e-01,-1.571991716543235995e+00
3.333333333333333703e-01,-1.694141630333645843e+00
3.270440251572327428e-01,-1.825917225362791108e+00
3.207547169811321153e-01,-1.967320856873020940e+00
3.144654088050314877e-01,-2.118004471264125499e+00
3.081761006289308602e-01,-2.277147506323956350e+00
3.018867924528302327e-01,-2.443322123961169989e+00
2.955974842767295496e-01,-2.614359130573769008e+00
2.893081761006289221e-01,-2.787237182124285173e+00
2.830188679245282946e-01,-2.958027719232217301e+00
2.767295597484276670e-01,-3.121935202025695411e+00
2.704402515723270395e-01,-3.273471430000794768e+00
2.641509433962264120e-01,-3.406788300803013314e+00
2.578616352201257844e-01,-3.516162125567097618e+00
2.515723270440251569e-01,-3.596578216079941548e+00
2.452830188679245293e-01,-3.644319912498080072e+00
2.389937106918239018e-01,-3.657441191544284820e+00
2.327044025157232743e-01,-3.636013401690205704e+00
2.264150943396226467e-01,-3.582087100246840627e+00
2.201257861635220192e-01,-3.499382689370792221e+00
2.138364779874213917e-01,-3.392789917652584641e+00
2.075471698113207641e-01,-3.267791550804640011e+00
2.012578616352201366e-01,-3.129922505078317485e+00
1.949685534591195091e-01,-2.984342296162494357e+00
1.886792452830188815e-01,-2.835554557658984898e+00
1.823899371069182540e-01,-2.687269323429589463e+00
1.761006289308176265e-01,-2.542380236713458252e+00
1.698113207547169989e-01,-2.403020215986626518e+00
1.635220125786163714e-01,-2.270661117727894585e+00
1.572327044025157439e-01,-2.146230340247503143e+00
1.509433962264151163e-01,-2.030226001560818005e+00
1.446540880503144610e-01,-1.922819926931425005e+00
1.383647798742138335e-01,-1.823943272650248915e+00
1.320754716981132060e-01,-1.733353149536131621e+00
1.257861635220125784e-01,-1.650680444803817704e+00
1.194968553459119509e-01,-1.575459611686954808e+00
1.132075471698113234e-01,-1.507140878012134699e+00
1.069182389937106958e-01,-1.445084399394049868e+00
1.006289308176100683e-01,-1.388534589617741233e+00
9.433962264150944077e-02,-1.336571542054644901e+00
8.805031446540881324e-02,-1.288035850568866714e+00
8.176100628930818570e-02,-1.241424934514076206e+00
7.547169811320755817e-02,-1.194766691557917149e+00
6.918238993710691676e-02,-1.145496192593967510e+00
6.289308176100628922e-02,-1.090401282480403466e+00
5.660377358490566169e-02,-1.025765386265750756e+00
5.031446540880503415e-02,-9.478929753029170513e-01
4.402515723270440662e-02,-8.541614465445648285e-01
3.773584905660377908e-02,-7.444537210217498924e-01
3.144654088050314461e-02,-6.222753701034684504e-01
2.515723270440251708e-02,-4.944957129561657894e-01
1.886792452830188954e-02,-3.691883482713373965e-01
1.257861635220125854e-02,-2.522530346463089934e-01
6.289308176100629269e-03,-1.431174416994862586e-01
0.000000000000000000e+00,1.987218736313434153e-02
0.000000000000000000e+00,1.634443886932753776e-01
6.289308176100629269e-03,2.269159526831885376e-01
1.257861635220125854e-02,2.557481248612367697e-01
1.886792452830188954e-02,2.707428153564448436e-01
2.515723270440251708e-02,2.684610379093654853e-01
3.144654088050314461e-02,2.447620200856410744e-01
3.773584905660377908e-02,1.982813001748747750e-01
4.402515723270440662e-02,1.327715191413996187e-01
5.031446540880503415e-02,5.679050840398769395e-02
5.660377358490566169e-02,-1.950248391657183333e-02
6.289308176100628922e-02,-8.806803105754790195e-02
6.918238993710691676e-02,-1.447408528972840003e-01
7.547169811320755817e-02,-1.887737171668131264e-01
8.176100628930818570e-02,-2.214411545463199626e-01
8.805031446540881324e-02,-2.447900984025217497e-01
9.433962264150944077e-02,-2.608921295585195921e-01
1.006289308176100683e-01,-2.715169181500061146e-01
1.069182389937106958e-01,-2.780492740362059401e-01
1.132075471698113234e-01,-2.815152752944951597e-01
1.194968553459119509e-01,-2.826430465827178828e-01
1.257861635220125784e-01,-2.819245376200010256e-01
1.320754716981132060e-01,-2.796661195972725000e-01
1.383647798742138335e-01,-2.760253804162910996e-01
1.446540880503144610e-01,-2.710350408427357749e-01
1.509433962264151163e-01,-2.646157942045448408e-01
1.572327044025157439e-01,-2.565797585885936094e-01
1.635220125786163714e-01,-2.466259047840768659e-01
1.698113207547169989e-01,-2.343286919985589911e-01
1.761006289308176265e-01,-2.191215291621966266e-01
1.823899371069182540e-01,-2.002780038096010351e-01
1.886792452830188815e-01,-1.768967322784340546e-01
1.949685534591195091e-01,-1.479011066483622017e-01
2.012578616352201366e-01,-1.120741141777059635e-01
2.075471698113207641e-01,-6.816081195357570621e-02
2.138364779874213917e-01,-1.508341590184936187e-02
2.201257861635220192e-01,4.768575227561666630e-02
2.264150943396226467e-01,1.195856349530841634e-01
2.327044025157232743e-01,1.983622092203531917e-01
2.389937106918239018e-01,2.796766432303257055e-01
2.452830188679245293e-01,3.573414026133230337e-01
2.515723270440251569e-01,4.244643750802611359e-01
2.578616352201257844e-01,4.752478523173925273e-01
2.641509433962264120e-01,5.065965649576387175e-01
2.704402515723270395e-01,5.186770438607370970e-01
2.767295597484276670e-01,5.142663998382220880e-01
2.830188679245282946e-01,4.974622811140408940e-01
2.893081761006289221e-01,4.724762143413652193e-01
2.955974842767295496e-01,4.428941025694682621e-01
3.018867924528302327e-01,4.114091377964753660e-01
3.081761006289308602e-01,3.798572710071258518e-01
3.144654088050314877e-01,3.493838891239382516e-01
3.207547169811321153e-01,3.206333358822344159e-01
3.270440251572327428e-01,2.939119486253694014e-01
3.333333333333333703e-01,2.693111212384802222e-01
3.396226415094339979e-01,2.467933036980096695e-01
3.459119496855346254e-01,2.262490517743751539e-01
3.522012578616352529e-01,2.075333775024739147e-01
3.584905660377358805e-01,1.904880693481666443e-01
3.647798742138365080e-01,1.749548391419959437e-01
3.710691823899371355e-01,1.607826337278757123e-01
3.773584905660377631e-01,1.478313239892428133e-01
3.836477987421383906e-01,1.359732024579491938e-01
3.899371069182390181e-01,1.250931982350846905e-01
3.962264150943396457e-01,1.150883769413917346e-01
4.025157232704402732e-01,1.058640498288201393e-01
4.088050314465409008e-01,9.731322837794076364e-02
4.150943396226415283e-01,8.936316412146227961e-02
4.213836477987421558e-01,8.195537447293221867e-02
4.276729559748427834e-01,7.503761818765375402e-02
4.339622641509434109e-01,6.856320885773847795e-02
4.402515723270440384e-01,6.249038583090327226e-02
4.465408805031446660e-01,5.678174639328403828e-02
4.528301886792452935e-01,5.140373838678025109e-02
4.591194968553459210e-01,4.632620987110114275e-02
4.654088050314465486e-01,4.152201118054854589e-02
4.716981132075471761e-01,3.696664425169837731e-02
4.779874213836478036e-01,3.263795408559899691e-02
4.842767295597484312e-01,2.851585745312046338e-02
4.905660377358490587e-01,2.458210432824703418e-02
4.968553459119496862e-01,2.082006796436086660e-02
5.031446540880503138e-01,1.721455996722209836e-02
5.094339622641509413e-01,1.375166713946407437e-02
5.157232704402515688e-01,1.041860726137133764e-02
5.220125786163521964e-01,7.203601325419084489e-03
5.283018867924528239e-01,4.095760056007757832e-03
5.345911949685534514e-01,1.084982822072699804e-03
5.408805031446540790e-01,-1.838132708749551369e-03
5.471698113207547065e-01,-4.682371616887559540e-03
5.534591194968553340e-01,-7.455974741057636024e-03
5.597484276729559616e-01,-1.016670476018388669e-02
5.660377358490565891e-01,-1.282190632367208316e-02
5.723270440251572166e-01,-1.542856109510237772e-02
5.786163522012578442e-01,-1.799333848049733398e-02
5.849056603773584717e-01,-2.052264273402659711e-02
5.911949685534590992e-01,-2.302265706964412573e-02
5.974842767295597268e-01,-2.549938535535178907e-02
6.037735849056604653e-01,-2.795869192638766876e-02
6.100628930817610929e-01,-3.040634002387365697e-02
6.163522012578617204e-01,-3.284802934576003253e-02
6.226415094339623479e-01,-3.528943318696686759e-02
6.289308176100629755e-01,-3.773623564544847930e-02
6.352201257861636030e-01,-4.019416938077680079e-02
6.415094339622642305e-01,-4.266905443230029071e-02
6.477987421383648581e-01,-4.516683863594539439e-02
6.540880503144654856e-01,-4.769364022360700339e-02
6.603773584905661131e-01,-5.025579324862650132e-02
6.666666666666667407e-01,-5.285989655746425875e-02
6.729559748427673682e-01,-5.551286712444958305e-02
6.792452830188679958e-01,-5.822199868734045936e-02
6.855345911949686233e-01,-6.099502677156354302e-02
6.918238993710692508e-01,-6.384020137675938678e-02
6.981132075471698784e-01,-6.676636882912156956e-02
7.044025157232705059e-01,-6.978306458755345609e-02
7.106918238993711334e-01,-7.290061914467482751e-02
7.169811320754717610e-01,-7.613027960292351182e-02
7.232704402515723885e-01,-7.948435005456055968e-02
7.295597484276730160e-01,-8.297635458237695438e-02
7.358490566037736436e-01,-8.662122756503576326e-02
7.421383647798742711e-01,-9.043553706959461813e-02
7.484276729559748986e-01,-9.443774851366559808e-02
7.547169811320755262e-01,-9.864853757440061877e-02
7.610062893081761537e-01,-1.030911636373876838e-01
7.672955974842767812e-01,-1.077919180876631966e-01
7.735849056603774088e-01,-1.127806656835275145e-01
7.798742138364780363e-01,-1.180915024486470788e-01
7.861635220125786638e-01,-1.237635604259448296e-01
7.924528301886792914e-01,-1.298419989024248711e-01
7.987421383647799189e-01,-1.363792342554503989e-01
8.050314465408805464e-01,-1.434364777095809007e-01
8.113207547169811740e-01,-1.510856739517736358e-01
8.176100628930818015e-01,-1.594119665605604474e-01
8.238993710691824290e-01,-1.685168627720283752e-01
8.301886792452830566e-01,-1.785223365707755416e-01
8.364779874213836841e-01,-1.895762051112519497e-01
8.427672955974843116e-01,-2.018592539096526473e-01
8.490566037735849392e-01,-2.155947942173586096e-01
8.553459119496855667e-01,-2.310616477180795769e-01
8.616352201257861942e-01,-2.486120261063078374e-01
8.679245283018868218e-01,-2.686964951042651872e-01
8.742138364779874493e-01,-2.918993194312597961e-01
8.805031446540880768e-01,-3.189891691400894569e-01
8.867924528301887044e-01,-3.509926470649702424e-01
8.930817610062893319e-01,-3.893014050835570394e-01
8.993710691823899595e-01,-4.358266761498021946e-01
9.056603773584905870e-01,-4.932120273311297876e-01
9.119496855345912145e-01,-5.650813274355264149e-01
9.182389937106918421e-01,-6.561352088755394441e-01
9.245283018867924696e-01,-7.712211182437118673e-01
9.308176100628930971e-01,-9.097655497119037094e-01
9.371069182389937247e-01,-1.042465870395950844e+00
9.433962264150943522e-01,-1.042961934408312974e+00
9.496855345911949797e-01,-6.685775830502083128e-01
9.559748427672956073e-01,-2.263604626498239014e-02
9.622641509433962348e-01,3.989092310994255541e-01
9.685534591194968623e-01,5.359649637880400386e-01
9.748427672955974899e-01,5.431981505482841310e-01
9.811320754716981174e-01,5.089467707822536990e-01
9.874213836477987449e-01,4.657758258856449229e-01
9.937106918238993725e-01,4.241679988028893566e-01
1.000000000000000000e+00,3.869916526826499004e-01
