x_over_c,Cp
1.000000000000000000e+00,3.906374779534692587e-01
9.937106918238993725e-01,4.270480415234382265e-01
9.874213836477987449e-01,4.652476361001928185e-01
9.811320754716981174e-01,4.994569965453276028e-01
9.748427672955974899e-01,5.147663705864542472e-01
9.685534591194968623e-01,4.783195920872912454e-01
9.622641509433962348e-01,3.370742176747678620e-01
9.559748427672956073e-01,6.340240488300097343e-02
9.496855345911949797e-01,-2.540417474128162656e-01
9.433962264150943522e-01,-4.711930458906792296e-01
9.371069182389937247e-01,-5.552637071466175467e-01
9.308176100628930971e-01,-5.574972973900631512e-01
9.245283018867924696e-01,-5.255290242030059567e-01
9.182389937106918421e-01,-4.838994299580505754e-01
9.119496855345912145e-01,-4.426404196765503229e-01
9.056603773584905870e-01,-4.051832749860617700e-01
8.993710691823899595e-01,-3.723023611829541224e-01
8.930817610062893319e-01,-3.437941152818679846e-01
8.867924528301887044e-01,-3.191509484937338215e-01
8.805031446540880768e-01,-2.978200662943824018e-01
8.742138364779874493e-01,-2.792949038400098782e-01
8.679245283018868218e-01,-2.631403412535915365e-01
8.616352201257861942e-01,-2.489928352828401081e-01
8.553459119496855667e-01,-2.365521160272416878e-01
8.490566037735849392e-01,-2.255710423622876437e-01
8.427672955974843116e-01,-2.158460648147315641e-01
8.364779874213836841e-01,-2.072090510511876982e-01
8.301886792452830566e-01,-1.995205615737611904e-01
8.238993710691824290e-01,-1.926644247479669669e-01
8.176100628930818015e-01,-1.865433978036941109e-01
8.113207547169811740e-01,-1.810757061568615267e-01
8.050314465408805464e-01,-1.761922818212897646e-01
7.987421383647799189e-01,-1.718345542681642968e-01
7.924528301886792914e-01,-1.679526768987691376e-01
7.861635220125786638e-01,-1.645040972814402203e-01
7.798742138364780363e-01,-1.614523993886471942e-01
7.735849056603774088e-01,-1.587663618716455005e-01
7.672955974842767812e-01,-1.564191887055643715e-01
7.610062893081761537e-01,-1.543878780572458531e-01
7.547169811320755262e-01,-1.526527025883421818e-01
7.484276729559748986e-01,-1.511967801022284785e-01
7.421383647798742711e-01,-1.500057178622080656e-01
7.358490566037736436e-01,-1.490673173485153047e-01
7.295597484276730160e-01,-1.483713289107018163e-01
7.232704402515723885e-01,-1.479092478838470726e-01
7.169811320754717610e-01,-1.476741454040799706e-01
7.106918238993711334e-01,-1.476605284819003661e-01
7.044025157232705059e-01,-1.478642249479606985e-01
6.981132075471698784e-01,-1.482822897343911706e-01
6.918238993710692508e-01,-1.489129296410354186e-01
6.855345911949686233e-01,-1.497554442952466758e-01
6.792452830188679958e-01,-1.508101814736819701e-01
6.729559748427673682e-01,-1.520785053361961570e-01
6.666666666666667407e-01,-1.535627764423619368e-01
6.603773584905661131e-01,-1.552663426937987978e-01
6.540880503144654856e-01,-1.571935405809847808e-01
6.477987421383648581e-01,-1.593497063204081243e-01
6.415094339622642305e-01,-1.617411966537440904e-01
6.352201257861636030e-01,-1.643754192512782986e-01
6.289308176100629755e-01,-1.672608728220177365e-01
6.226415094339623479e-01,-1.704071971872251900e-01
6.163522012578617204e-01,-1.738252337263144209e-01
6.100628930817610929e-01,-1.775270967578281844e-01
